,label
1261,fear
1537,fear
1213,fear
1964,fear
1355,fear
1754,fear
1326,fear
891,fear
1434,fear
1721,fear
1249,fear
1345,fear
1443,fear
1824,fear
1127,fear
1674,fear
1570,fear
1334,fear
1775,fear
1270,fear
1605,fear
1806,fear
1708,fear
924,fear
1926,fear
1248,fear
1614,fear
1281,fear
1430,fear
1161,fear
1663,fear
1170,fear
1868,fear
909,fear
1297,fear
1688,fear
1251,fear
1102,fear
1404,fear
1560,fear
1103,fear
1154,fear
1072,fear
1069,fear
1523,fear
1807,fear
1798,fear
1604,fear
937,fear
1843,fear
1230,fear
1669,fear
1872,fear
1312,fear
1709,fear
1163,fear
1591,fear
1368,fear
1527,fear
1894,fear
977,fear
1863,fear
1216,fear
1818,fear
997,fear
961,fear
1857,fear
834,fear
1825,fear
1384,fear
1076,fear
1200,fear
1441,fear
1493,fear
1011,fear
1262,fear
1423,fear
1630,fear
1765,fear
1300,fear
1012,fear
1141,fear
1895,fear
1619,fear
1740,fear
1356,fear
1366,fear
1335,fear
999,fear
1081,fear
1313,fear
944,fear
1222,fear
1055,fear
878,fear
1792,fear
1221,fear
1738,fear
1608,fear
1767,fear
1610,fear
985,fear
869,fear
1931,fear
1945,fear
1387,fear
868,fear
1787,fear
1799,fear
849,fear
1339,fear
1013,fear
1969,fear
1844,fear
1354,fear
1407,fear
1052,fear
1632,fear
1713,fear
1832,fear
943,fear
904,fear
1603,fear
1195,fear
1786,fear
832,fear
1016,fear
844,fear
1203,fear
1188,fear
1737,fear
1914,fear
1642,fear
1907,fear
971,fear
1847,fear
1941,fear
949,fear
1908,fear
1639,fear
1594,fear
1808,fear
887,fear
1237,fear
964,fear
905,fear
1008,fear
1725,fear
829,fear
989,fear
1034,fear
1951,fear
1381,fear
1138,fear
1691,fear
1253,fear
1315,fear
1089,fear
1457,fear
1464,fear
1009,fear
1087,fear
1348,fear
1030,fear
1551,fear
1121,fear
1946,fear
1491,fear
1600,fear
1022,fear
1347,fear
1714,fear
1383,fear
1735,fear
1367,fear
1370,fear
