,processed_text
0,soooo nervous actually attractive guy try talk person like 9/10 turn habit 😭
1,shy freshman year guy introduce ask speak English
2,video @PanicAtTheDisco   post convinced   brendonati
3,saga device tele fail time bake   gbbo
4,purging real Kenya country elite purge chopper low class cower bed 12 hour
5,coincidence turn tv etc.&amp listen amp watch objective captureyourmind fear amp depression findgodnow
6,@daniqay @AJENews ohh come sense terror support stone pelting vandalizing ppl gather b4 protest announce
7,@lfc awful team
8,2 week start seriously dreadful
9,today alarm show unprepared professor student come emergency protocol know @calstatela
10,study skill terrible 😒
11,damnnit go to 1400 pt shy Chiefs Rewards get post game photo
12,@Shahid3011 tweet shit like come haunt like one 😭 😂
13,scary American Horror Story go to watch daytime frighten
14,let fear hold want use power push goal fear action
15,busy code network manager unity3d base steamwork network gamedev indiedev 3amdeadtime   game
16,sugar fruit.\n soda water.\n worry sleep.\n word action
17,nap day comfortable sleep night comfortable nightmare
18,@FraserKeegan steak pie supper
19,@JonnyDunn93 Gerrard awful
20,mad lose track brown spider brown carpet 🕷 sneak
21,.@SimonNRicketts know patronus think tell
22,@eurekaforbe U get b kid Anu firm respond   send contact detail   customerexperience
23,Obama admin reject Texas plan refugee vet terrorism Texas pull fed refugee resettlement program aid
24,Americans feel borderline despair look situation control
25,@BigLepley @angela31694996 @theindigoarrow want start biker gang GTA Online Biker DLC come
26,Accrington Stanley exactly thing look dire West Ham despite win change March bbcfootball
27,know people binge watch horror film 😓 😰
28,@KateyKeegan excited November hope horrid chavs 😅
29,test tonight nervous
30,@sandym709   regardless let permit permit excuse allow threaten officer(expressed implied)w/
31,@taoist_skeptic @jackaberlin @drjillstein @politicususa doubt U afraid Trump vilify minority amp woman
32,dread drive Wednesday 😩
33,@Mickeyplyler @QualkTalk ref GT favor tonight terrible
34,Scott Dann injure aka bad nightmare
35,hate black lady paint white internet laugh like terrible BadForm DidntLaugh
36,debunk panic idea physical symptom negative thought behavior begin vicious cycle cbtworks
37,@obyezek \nwe forget d past apprehend punish d culprit past go allow d present slip away
38,harbor Osama bin Laden relationship Haqqani network evidence prove Pakistan sponsor terrorism
39,alternate sleep sleepless night tonight sleepless 😕 insomnia   notfair
40,husband lose £ 800 book apartment @airbnb exist @airbnbhelp care   airbnbnightmare
41,Source!!\n\n#mindset philosophy thoughtsbecomething news lifehack fear life PleaseRT ProblemSolving
42,stick roof house provide amazing view sheer terror fall kinda like life
43,God need new goal keeper horrific
44,tell go tear apart tall
45,courage cowardly dog like american horror story kid
46,$ 100 say Teufel reassign organization year wish soon met thirdbasecoach   lgm
47,focus primarily person talk impression make lessens social anxiety
48,maybe new start align end start forward
49,piss kill people surrender hand hand visible fear life
50,believe Mint f day away hate outfit 😩 😩 🙈
51,Texans play horrible   bad play call bad protection ball bad coaching bad defense bad overall performance Texans horrible
52,@mas_critical irony protest kind stuff orwellian nightmare think fight
53,@drunkejt mutual intimidate point
54,fuck fuck horrific
55,feel awkward timid
56,get nervous anatomy exam 😩
57,excited nervous Tuesday
58,@officialShaky Operation Echoes gather momentum tense nervous feelsick excite
59,lose blinder
60,@gotham3 ~ crush kid like trix \rhow bout blow Love make quiver deep core Y E S =
61,@KarenL109 replace carpet shocking
62,stop afraid live
63,Everyday gay panic stunning draw 1 guy att'n block toilet stall crack w paper towel total INCOMPREHENSION
64,@darwinwaterson @pennyfitzger31 @gumballwatter15 ok tomorrow horrible day day great
65,terrible cat wow aflcatsswan
66,Jorge deserve honestly weak   90dayfiance
67,learn year mind diminish fear Rosa Parks quote motivation
68,speech   mention foreign hand funding terrorism country 👍 \n#proudofyouprimeminister
69,@MikeGrunwald well trump ramble awful truly truly awful
70,@chickofbeauty   Y'all mean rioting fire starting business burning loot ASSHOLES   create blacklivesmatter
71,bad @egx attend worth bad con 5 year terrible
72,Confiaejce come right fear wrong.-peter T. Mcintyre
73,lmao person hate bad talk shit anonymous account awe
74,@ashish_geol @getPakistanTV @hamidmirgeo think Khalistaan \nno concern Baluchistan Kashmir issue
75,@theonlysweeney slogan start instead finish
76,@dreknott get tremendous range
77,@panicatthedisco hey you announce like immediately ask nice thank you panic
78,anytime @pereze get near mic need smack w bat @bbtn awful marblesinmouth
79,air breathe taste like home @the_curry
80,@residentadvisor thank get exemplary customer service loyal customer jk   residentadvisor poorservice
81,feel horrible account today physically mentally okay 😪
82,arrive office day festival internet panic
83,@expressscript u shd b embrrssd u jack bp med twice 3 5 day express expressscript
84,wake scroll social medium father take child   everyday keithlamontscott
85,free kick Rooney awful
86,agent inauthentic sister love amp alive guess bad socialanxiety anxiety
87,@CSTrey4 thank brotein shake 😈 😈 😈
88,onus Pakistan MEAIndia Uri terror attack
89,@just_alasia agree btw u see Ep22 Granger o   episode know Anna come conversation start
90,@ManUnitedWriter dreadful half mention rashford get end couple ball pace
91,wrong hesitate block cut life completely 😇 great talent
92,@AmyMek absurd laugh right feel like cry future country despair wakeupcall
93,woke nightmare 3am sleep take useallthehotwatershower time read
94,@AllyTheRipper @proof @spaitogame horror movie frighten child i.e. Halloween movie nightmare
95,Halloween party come soon turnt ruinT light firesauce hotsauce mildsauce getsauced champagnedream scary haunt kitten
96,.@SimonNRicketts know patronus think tell shock
97,@Fly_Norwegian simply bad airline worstairline shock appaule dire dismal beyondajoke useless
98,truly want God life require letting old thing allow new thing flourish stop start
99,important thing need accomplish today onlinemarkete solopreneur start success
100,@Delta stick runway divert Fargo continuously tell 10 min past 4 hour food water offer awful
101,life long fear havin shit spider crawl ya bum
102,radio tell Lady GaGa go country like Beatles decide opera singing final album awful
103,polish nail find polish remover look like 3yr old polish nail lol horrible
104,vote killary like stick knife toaster shock makeamericagreatagain
105,Research determine 70 laughter actually
106,m literally shake bc m nervous bc fucking cold oh love life
107,@markhberman2003 @lancezierlein @790blesse entire team coach play coach scared jumpstreet intimidate
